Tiempo,Tipo,Proceso,Descripción,Detalles
0,Arribo,Editor,"Proceso Editor llega al sistema","Llegada al sistema - inicio TIP"
0,Arribo,Editor,"Proceso Editor arriba al sistema","Iniciando incorporación al sistema (TIP: 1)"
1,Arribo,Navegador,"Proceso Navegador llega al sistema","Llegada al sistema - inicio TIP"
1,Arribo,Navegador,"Proceso Navegador arriba al sistema","Iniciando incorporación al sistema (TIP: 1)"
1,Cambio Contexto,Editor,"Cambio de contexto para proceso Editor","TCP consumido: 1"
1,Despacho,Editor,"Proceso Editor despachado para ejecución","Inicio ejecución: restanteEnRafaga=3"
1,Despacho,Editor,"Proceso Editor despachado para ejecución",""
1,Despacho,Editor,"Proceso Editor despachado",""
1,Incorporación Sistema,Editor,"Proceso Editor completó TIP, incorporado al sistema","Proceso incorporado al sistema - ahora en Listo"
1,Incorporación Sistema,Editor,"Proceso Editor incorporado al sistema","Proceso listo para ser despachado"
2,Incorporación Sistema,Navegador,"Proceso Navegador completó TIP, incorporado al sistema","Proceso incorporado al sistema - ahora en Listo"
2,Incorporación Sistema,Navegador,"Proceso Navegador incorporado al sistema","Proceso listo para ser despachado"
3,Agotamiento Quantum,Editor,"Proceso Editor agotó su quantum","Quantum agotado: ejecutó 2, le restan 1 de ráfaga"
3,Agotamiento Quantum,Editor,"Proceso Editor agota quantum","TCP consumido: 1 - Proceso reasignado"
3,Arribo,Sistema,"Proceso Sistema llega al sistema","Llegada al sistema - inicio TIP"
3,Arribo,Sistema,"Proceso Sistema arriba al sistema","Iniciando incorporación al sistema (TIP: 1)"
3,Cambio Contexto,Navegador,"Cambio de contexto para proceso Navegador","TCP consumido: 1"
3,Despacho,Navegador,"Proceso Navegador despachado para ejecución","Inicio ejecución: restanteEnRafaga=2"
3,Despacho,Navegador,"Proceso Navegador despachado para ejecución",""
3,Despacho,Navegador,"Proceso Navegador despachado",""
4,Fin Ráfaga CPU,Editor,"Proceso Editor completó ráfaga de CPU","Evento obsoleto ignorado - proceso fue expropiado"
4,Incorporación Sistema,Sistema,"Proceso Sistema completó TIP, incorporado al sistema","Proceso incorporado al sistema - ahora en Listo"
4,Incorporación Sistema,Sistema,"Proceso Sistema incorporado al sistema","Proceso listo para ser despachado"
5,Fin E/S,Navegador,"Proceso Navegador completó E/S","Fin E/S - Bloqueado a Listo instantáneo"
5,Fin E/S,Navegador,"Proceso Navegador termina E/S","Proceso listo para continuar"
5,Fin Ráfaga CPU,Navegador,"Proceso Navegador completó ráfaga de CPU","Ráfaga completada - proceso a E/S"
5,Fin Ráfaga CPU,Navegador,"Proceso Navegador termina ráfaga CPU","Proceso pasa a E/S"
